# DRAFT emoji-data.txt
# For details about the format and other information, see index.html#Data_Files.
#
# Format
# Code ;  Default Style ; Ordering ;  Annotations ; Sources # Version Char Name
#
U+1F5E6 ; emoji ; 199 ; 3, comic, emotion, rays, three ;  w   # V7.0 (🗦) three rays left
U+1F5E7 ; emoji ; 200 ; 3, comic, emotion, rays, three ;  w   # V7.0 (🗧) three rays right
U+1F5E8 ; emoji ; 201 ; balloon, bubble, emotion, speech ;  w   # V7.0 (🗨) left speech bubble
U+1F5E9 ; emoji ; 202 ; balloon, bubble, emotion, speech ;  w   # V7.0 (🗩) right speech bubble
U+1F5EA ; emoji ; 203 ; balloon, bubble, emotion, speech ;  w   # V7.0 (🗪) two speech bubbles
U+1F5EB ; emoji ; 204 ; 3, balloon, bubble, emotion, speech, three ;  w   # V7.0 (🗫) three speech bubbles
U+1F5EC ; emoji ; 205 ; balloon, bubble, emotion, thought ; w   # V7.0 (🗬) left thought bubble
U+1F5ED ; emoji ; 206 ; balloon, bubble, emotion, thought ; w   # V7.0 (🗭) right thought bubble
U+1F5EE ; emoji ; 207 ; anger, angry, balloon, bubble, emotion ;  w   # V7.0 (🗮) left anger bubble
U+1F5EF ; emoji ; 208 ; anger, angry, balloon, bubble, emotion ;  w   # V7.0 (🗯) right anger bubble
U+1F5F0 ; emoji ; 209 ; balloon, bubble, emotion, mood ;  w   # V7.0 (🗰) mood bubble
U+1F5F1 ; emoji ; 210 ; balloon, bubble, emotion, lightning, mood ; w   # V7.0 (🗱) lightning mood bubble
U+1F5F2 ; emoji ; 211 ; emotion, lightning, mood, nature ;  w   # V7.0 (🗲) lightning mood
U+1F453 ; emoji ; 212 ; clothing, eye, eyeglasses, glasses ;  jw  # V6.0 (👓) eyeglasses
U+1F576 ; emoji ; 213 ; dark, eye, glasses, object, sunglasses ;  w   # V7.0 (🕶) dark sunglasses
U+1F454 ; emoji ; 214 ; clothing, necktie ; j   # V6.0 (👔) necktie
U+1F455 ; emoji ; 215 ; clothing, shirt, tshirt ; j   # V6.0 (👕) t-shirt
U+1F456 ; emoji ; 216 ; clothing, jeans, pants, trousers ;  j   # V6.0 (👖) jeans
U+1F457 ; emoji ; 217 ; clothing, dress ; j   # V6.0 (👗) dress
U+1F458 ; emoji ; 218 ; clothing, kimono ;  j   # V6.0 (👘) kimono
U+1F459 ; emoji ; 219 ; bikini, clothing ;  j   # V6.0 (👙) bikini
